,Susceptible,Exposed,Infected,Recovered,Cumulative_Infected,Infected_Immune,Infected_Superspreader,Infected_Moderate,Infected_Critical,Infected_Cynical,narrative
69,70,71,288,571,1676,29,76,147,19,17,N3_govt_restrictions
70,66,76,291,567,1691,29,74,150,21,17,N3_govt_restrictions
71,69,68,296,567,1713,31,71,152,24,18,N3_govt_restrictions
72,72,71,294,563,1727,31,72,154,20,17,N3_govt_restrictions
73,64,67,294,575,1748,31,73,156,17,17,N3_govt_restrictions
74,73,63,297,567,1763,31,75,158,16,17,N3_govt_restrictions
75,75,65,288,572,1773,30,72,155,14,17,N3_govt_restrictions
76,79,70,282,569,1779,29,73,150,13,17,N3_govt_restrictions
77,87,72,279,562,1792,29,72,149,12,17,N3_govt_restrictions
78,81,77,281,561,1807,32,71,147,13,18,N3_govt_restrictions
79,86,67,289,558,1828,36,74,147,13,19,N3_govt_restrictions
80,79,79,284,558,1838,33,75,143,14,19,N3_govt_restrictions
81,72,82,278,568,1851,28,74,142,13,21,N3_govt_restrictions
82,76,71,285,568,1873,30,74,142,16,23,N3_govt_restrictions
83,70,71,296,563,1892,31,78,145,19,23,N3_govt_restrictions
84,69,69,298,564,1906,32,76,147,18,25,N3_govt_restrictions
85,75,69,297,559,1919,32,74,146,20,25,N3_govt_restrictions
86,77,71,302,550,1931,36,74,146,20,26,N3_govt_restrictions
87,78,73,295,554,1941,33,76,142,19,25,N3_govt_restrictions
88,74,65,296,565,1959,33,72,145,20,26,N3_govt_restrictions
89,79,61,290,570,1972,33,72,142,20,23,N3_govt_restrictions
90,83,61,286,570,1985,31,70,141,22,22,N3_govt_restrictions
91,76,68,279,577,1997,32,68,139,19,21,N3_govt_restrictions
92,84,61,285,570,2013,29,74,141,19,22,N3_govt_restrictions
93,82,69,279,570,2020,28,75,136,20,20,N3_govt_restrictions
94,80,67,275,578,2036,29,74,134,18,20,N3_govt_restrictions
95,97,63,270,570,2048,27,72,135,16,20,N3_govt_restrictions
96,98,69,268,565,2059,27,70,134,18,19,N3_govt_restrictions
97,91,77,268,564,2072,27,70,138,15,18,N3_govt_restrictions
98,85,75,263,577,2086,26,73,130,12,22,N3_govt_restrictions
99,93,67,270,570,2100,30,73,134,11,22,N3_govt_restrictions
100,97,62,268,573,2115,29,73,133,11,22,N3_govt_restrictions
